name1,name2
高危因素,吸烟数量
高危因素,年龄
高危因素,家族史
诊疗评估,多学科评估
诊疗评估,风险评估
诊疗评估,影像学对比
诊疗评估,其他检测
病史,吸烟史
病史,家族史
病史,既往癌症史
体格检查,体能状态
体格检查,体重减轻
多学科评估,胸外科医生
多学科评估,胸部放射科医生
多学科评估,肺科医生
患者因素,年龄
患者因素,吸烟史
患者因素,既往癌症史
患者因素,家族史
患者因素,吸烟史
患者因素,职业暴露
患者因素,其他肺部疾病
患者因素,传染性病原体
患者因素,提示感染的危险因素
ⅠA期(周围型T1abcN0),主要治疗(周围型T1abcN0)
ⅠA期(周围型T1abcN1),辅助治疗(周围型T1abcN0)
ⅠB期(周围型T2aN0),主要治疗(周围型T2aN0)
ⅠB期(周围型T2aN0),辅助治疗(周围型T2aN0)
Ⅰ期(中央型T1abc-2aN0),主要治疗(中央型T1abc-2aN0)
Ⅰ期(中央型T1abc-2aN0),辅助治疗(中央型T1abc-2aN0)
ⅡA期(T2bN0),主要治疗ⅡA期(T2bN0)
ⅡA期(T2bN1),辅助治疗ⅡA期(T2bN0)
ⅡB期(T3N0),主要治疗(T3N0)
ⅡB期(T3N1),辅助治疗(T3N0)
ⅡB期(T1abc-2abN1),主要治疗(T1abc-2abN1)
ⅡB期(T1abc-2abN2),辅助治疗(T1abc-2abN1)
ⅡB期(T2bN0),主要治疗ⅡB期(T2bN0)
ⅡB期(T2bN1),辅助治疗ⅡB期(T2bN0)
ⅢA期(T3N1),主要治疗(T3N1)
ⅢA期(T3N2),辅助治疗(T3N1)
肺上沟瘤(浸润型T3N0-1),主要治疗(浸润型T3N0-1)
肺上沟瘤(浸润型T3N0-2),辅助治疗(浸润型T3N0-1)
胸壁、近端气道或纵隔(T3浸润N0-1),主要治疗(浸润型T3N0-1)胸壁等
胸壁、近端气道或纵隔(T3浸润N0-2),辅助治疗(浸润型T3N0-1)胸壁等
肺上沟瘤(扩散型T4N0-1),主要治疗(扩散型T4N0-1)
肺上沟瘤(扩散型T4N0-2),辅助治疗(扩散型T4N0-1)
胸壁、近端气道或纵隔(扩散型T4N0-1),主要治疗(扩散型T4N0-1)胸壁等
胸壁、近端气道或纵隔(扩散型T4N0-2),辅助治疗(扩散型T4N0-1)胸壁等
ⅢA期(T4N0-1),主要治疗(T4N0-1)
ⅢA期(T4N0-2),辅助治疗(T4N0-1)
ⅢA期(无法切除T4N0-1),主要治疗(无法切除T4N0-1)
ⅢA期(无法切除T4N0-2),辅助治疗(无法切除T4N0-1)
ⅢA期(T1-2N2),主要治疗(T1-2N2)
ⅢA期(T1-2N3),辅助治疗(T1-2N2)
ⅢB期(T3N2),主要治疗(T3N2)
ⅢB期(T3N3),辅助治疗(T3N2)
临床分期,ⅠA期(周围型T1abcN0)
临床分期,ⅠB期(周围型T2aN0)
临床分期,Ⅰ期(中央型T1abc-2aN0)
临床分期,ⅡA期(T2bN0)
临床分期,ⅡB期(T3N0)
临床分期,ⅡB期(T1abc-2abN1)
临床分期,ⅡB期(T2bN0)
临床分期,ⅢA期(T3N1)
临床分期,ⅡB期浸润型(T3N0-1)
临床分期,ⅢA期(扩散型T4N0-1)
临床分期,ⅢA期(T4N0-1)
临床分期,ⅢA期(无法切除T4N0-1)
临床分期,ⅢA期(T1-2N2)
临床分期,ⅢB期(T3N2)
临床分期,IIIB期(T3N2)
临床分期,分散的肺结节(IB、IIIA、IV期)
临床分期,IIIA期(T1-2N2)
临床分期,同肺叶分散肺结节(T3N0-1)9
临床分期,同侧非原发肺叶肺结节(T4N0-1)
临床分期,IV期(N0Mla)对侧肺孤立结节
临床分期,可疑多原发肺癌
临床分期,IIIB期(T1-2N3)
临床分期,IIIC期(T3N3)
临床分期,IIIB期(T4N2)
临床分期,IIIC期(T4N3)
临床分期,ⅣA期(M1a)胸腔或心包积液
临床分期,ⅣA期(M1b)
临床分期,ⅣB期(M1c)
临床分期,胸部病变
临床分期,局部晚期小细胞肺癌
临床分期,转移性小细胞肺癌
纵隔淋巴结阴性(周围型T1abcN0),可手术(周围型T1abcN0)
纵隔淋巴结阴性(周围型T1abcN1),不可手术(周围型T1abcN0)
纵隔淋巴结阴性(周围型T2aN0),可手术(周围型T2aN0)
纵隔淋巴结阴性(周围型T2aN0),不可手术(周围型T2aN0)
不可手术(周围型T2aN0),N0(周围型T2aN0)
不可手术(周围型T2aN0),N1(周围型T2aN1)
护理,护理分级
护理,护理类型
护理,护理时期
护理分级,一级护理
护理分级,二级护理
护理分级,特级护理
护理类型,手术护理
护理类型,放化疗护理
护理时期,术前护理
护理时期,术时护理
护理时期,术后护理
护理时期,放化疗前护理
护理时期,放化疗时护理
护理时期,放化疗后护理
出院,出院核查
出院,出院标准
出院核查,手术后核查
出院核查,放化疗后核查
随访,随访项目
随访,随访结果
随访,持续时间
随访,随访频率
