name1,name2
治疗前评估,综合姑息治疗
治疗前评估,肺功能检查
治疗前评估,支气管镜检查
治疗前评估,纵隔淋巴结活检
治疗前评估,PET/CT
治疗前评估,头部增强MRI
治疗前评估,头部增强CT
治疗前评估,相关部位增强MRI
治疗前评估,锁骨上淋巴活检
治疗前评估,穿刺活检
治疗前评估,生物标记物检测
治疗前评估,心包穿刺
治疗前评估,胸腔穿刺
治疗前评估,胸腔镜检查
入院评估,体格检查
入院评估,VTE评估
入院评估,高危因素
主要治疗(浸润型T3N0-1),肺功能检查
主要治疗(浸润型T3N0-1),支气管镜检查
主要治疗(浸润型T3N0-1),纵隔淋巴结活检
主要治疗(浸润型T3N0-1),PET/CT
主要治疗(浸润型T3N0-1),头部增强MRI
主要治疗(浸润型T3N0-1),头部增强CT
主要治疗(浸润型T3N0-1),相关部位增强MRI
主要治疗(浸润型T3N0-1)胸壁等,肺功能检查
主要治疗(浸润型T3N0-1)胸壁等,支气管镜检查
主要治疗(浸润型T3N0-1)胸壁等,纵隔淋巴结活检
主要治疗(浸润型T3N0-1)胸壁等,PET/CT
主要治疗(浸润型T3N0-1)胸壁等,头部增强MRI
主要治疗(浸润型T3N0-1)胸壁等,头部增强CT
主要治疗(浸润型T3N0-1)胸壁等,相关部位增强MRI
主要治疗(扩散型T4N0-1),肺功能检查
主要治疗(扩散型T4N0-1),支气管镜检查
主要治疗(扩散型T4N0-1),纵隔淋巴结活检
主要治疗(扩散型T4N0-1),PET/CT
主要治疗(扩散型T4N0-1),头部增强MRI
主要治疗(扩散型T4N0-1),头部增强CT
主要治疗(扩散型T4N0-1),相关部位增强MRI
主要治疗(扩散型T4N0-1)胸壁等,肺功能检查
主要治疗(扩散型T4N0-1)胸壁等,支气管镜检查
主要治疗(扩散型T4N0-1)胸壁等,纵隔淋巴结活检
主要治疗(扩散型T4N0-1)胸壁等,PET/CT
主要治疗(扩散型T4N0-1)胸壁等,头部增强MRI
主要治疗(扩散型T4N0-1)胸壁等,头部增强CT
主要治疗(扩散型T4N0-1)胸壁等,相关部位增强MRI
主要治疗(周围型T1abcN0),肺功能检查
主要治疗(周围型T1abcN0),支气管镜检查
主要治疗(周围型T1abcN0),纵隔淋巴结活检
主要治疗(周围型T1abcN0),PET/CT
主要治疗(周围型T2aN0),肺功能检查
主要治疗(周围型T2aN0),支气管镜检查
主要治疗(周围型T2aN0),纵隔淋巴结活检
主要治疗(周围型T2aN0),PET/CT
主要治疗(周围型T2aN0),头部增强MRI
主要治疗(周围型T2aN0),头部增强CT
初始评估,诊疗评估
初始评估,病史
初始评估,体格检查
初始评估,腹部增强CT
初始评估,胸部增强CT
初始评估,全血细胞计数
初始评估,血小板
初始评估,生化检查
初始评估,戒烟建议
初始评估,医师咨询
初始评估,药物使用
初始评估,5A框架
