name1,name2
治疗,has_treatment,治疗方法
切缘阴性(R0)(T2bN0),has_treatment,观察
切缘阴性(R0)(T2bN0),has_treatment,化疗+奥希替尼(EGFR19del/L858R)
切缘阴性(R0)(T2bN0),has_treatment,化疗+阿替利珠单抗
"切缘阳性(R1,R2)(T2bN0)",has_treatment,再次手术切除+化疗
"切缘阳性(R1,R2)(T2bN0)",has_treatment,放疗+化疗
切缘阴性(R0)(T3N0),has_treatment,化疗+奥希替尼(EGFR19del/L858R)
切缘阴性(R0)(T3N0),has_treatment,化疗+阿替利珠单抗
"切缘阳性(R1,R2)(T3N0)",has_treatment,再次手术切除+化疗
"切缘阳性(R1,R2)(T3N0)",has_treatment,同步放化疗
"切缘阳性(R1,R2)(T3N0)",has_treatment,序贯放化疗
切缘阴性(R0)(T3N1),has_treatment,化疗+奥希替尼(EGFR19del/L858R)
切缘阴性(R0)(T3N1),has_treatment,化疗+阿替利珠单抗
切缘阴性(R0)(T3N1),has_treatment,序贯化疗+考虑放疗
"切缘阳性(R1,R2)(T3N1)",has_treatment,序贯放化疗
"切缘阳性(R1,R2)(T3N1)",has_treatment,同步放化疗
主要治疗(浸润型T3N0-1),has_treatment,术前同步放化疗
辅助治疗(浸润型T3N0-1),has_treatment,手术+化疗+阿替利珠单抗
辅助治疗(浸润型T3N0-1),has_treatment,手术+化疗+奥希替尼
主要治疗(浸润型T3N0-1)胸壁等,has_treatment,手术
切缘阴性(R0)(浸润型T3N0-1)胸壁等,has_treatment,化疗+阿替利珠单抗
切缘阴性(R0)(浸润型T3N0-1)胸壁等,has_treatment,化疗+奥希替尼
"切缘阳性(R1,R2)(浸润型T3N0-1)胸壁等",has_treatment,再次手术+化疗
"切缘阳性(R1,R2)(浸润型T3N0-1)胸壁等",has_treatment,序贯放化疗
"切缘阳性(R1,R2)(浸润型T3N0-1)胸壁等",has_treatment,同步放化疗
主要治疗(扩散型T4N0-1),has_treatment,术前同步放化疗
主要治疗(扩散型T4N0-1),has_treatment,根治性同步放化疗
辅助治疗(T4N0-1),has_treatment,手术+化疗+阿替利珠单抗
辅助治疗(T4N0-1),has_treatment,完全根治性放化疗
辅助治疗(T4N0-1),has_treatment,度伐单抗
辅助治疗(T4N0-1),has_treatment,序贯放化疗
辅助治疗(T4N0-1),has_treatment,同步放化疗
主要治疗(扩散型T4N0-1)胸壁等,has_treatment,手术
切缘阴性(R0)(扩散型T4N0-1)胸壁等,has_treatment,化疗+阿替利珠单抗
切缘阴性(R0)(扩散型T4N0-1)胸壁等,has_treatment,化疗+奥希替尼
"切缘阳性(R1,R2)(扩散型T4N0-1)胸壁等",has_treatment,再次手术+化疗
"切缘阳性(R1,R2)(扩散型T4N0-1)胸壁等",has_treatment,序贯放化疗
"切缘阳性(R1,R2)(扩散型T4N0-1)胸壁等",has_treatment,同步放化疗
切缘阴性(R0)(周围型T1abcN0),has_treatment,观察
"切缘阳性(R1,R2)(周围型T1abcN0)",has_treatment,再次手术切除
"切缘阳性(R1,R2)(周围型T1abcN0)",has_treatment,放疗
可手术(周围型T1abcN0),has_treatment,手术探查和切除
可手术(周围型T1abcN1),has_treatment,纵隔淋巴结清扫
可手术(周围型T1abcN2),has_treatment,系统性淋巴结取样
不可手术(周围型T1abcN2),has_treatment,根治性放疗
纵隔淋巴结阳性(周围型T1abcN0),has_treatment,NSCL-8(ⅢAⅢB)
纵隔淋巴结阳性(周围型T1abcN1),has_treatment,NSCL-12(ⅢCⅢB)
切缘阴性(R0)(周围型T2aN0),has_treatment,观察
切缘阴性(R0)(周围型T2aN0),has_treatment,化疗+奥希替尼(EGFR19del/L858R)
"切缘阳性(R1,R2)(周围型T2aN0)",has_treatment,再次手术切除+化疗
"切缘阳性(R1,R2)(周围型T2aN0)",has_treatment,放疗
可手术(周围型T2aN0),has_treatment,手术探查和切除
可手术(周围型T2aN0),has_treatment,纵隔淋巴结清扫
可手术(周围型T2aN0),has_treatment,系统性淋巴结取样
N0(周围型T2aN0),has_treatment,根治性放疗
N0(周围型T2aN0),has_treatment,辅助化疗
N1(周围型T2aN1),has_treatment,联合放疗的化疗方案
N1(周围型T2aN1),has_treatment,度伐单抗
纵隔淋巴结阳性(周围型T2aN0),has_treatment,NSCL-8(ⅢAⅢB)
纵隔淋巴结阳性(周围型T2aN0),has_treatment,NSCL-12(ⅢCⅢB)
