name1,name2
筛查,筛查手段
筛查,临床症状
筛查,体征
治疗,临床分期
风险评估,患者因素
风险评估,放射科因素
影像学对比,肺结节
影像学对比,肺实质异常
影像学对比,氟脱氧葡萄糖活性
主要治疗(周围型T1abcN0),纵隔淋巴结阴性(周围型T1abcN0)
主要治疗(周围型T1abcN0),纵隔淋巴结阳性(周围型T1abcN0)
辅助治疗(周围型T1abcN0),切缘阴性(R0)(周围型T1abcN0)
辅助治疗(周围型T1abcN0),"切缘阳性(R1,R2)(周围型T1abcN0)"
主要治疗(周围型T2aN0),纵隔淋巴结阴性(周围型T2aN0)
主要治疗(周围型T2aN0),纵隔淋巴结阳性(周围型T2aN0)
辅助治疗(周围型T2aN0),切缘阴性(R0)(周围型T2aN0)
辅助治疗(周围型T2aN0),"切缘阳性(R1,R2)(周围型T2aN0)"
辅助治疗ⅡA期(T2bN0),切缘阴性(R0)(T2bN0)
辅助治疗ⅡA期(T2bN0),"切缘阳性(R1,R2)(T2bN0)"
辅助治疗(T3N0),切缘阴性(R0)(T3N0)
辅助治疗(T3N0),"切缘阳性(R1,R2)(T3N0)"
辅助治疗(T3N1),切缘阴性(R0)(T3N1)
辅助治疗(T3N1),"切缘阳性(R1,R2)(T3N1)"
辅助治疗(浸润型T3N0-1)胸壁等,切缘阴性(R0)(浸润型T3N0-1)胸壁等
辅助治疗(浸润型T3N0-1)胸壁等,"切缘阳性(R1,R2)(浸润型T3N0-1)胸壁等"
辅助治疗(扩散型T4N0-1)胸壁等,切缘阴性(R0)(扩散型T4N0-1)胸壁等
辅助治疗(扩散型T4N0-1)胸壁等,"切缘阳性(R1,R2)(扩散型T4N0-1)胸壁等"
随访项目,Ⅰ-Ⅱ期手术及化疗
随访项目,Ⅲ-Ⅳ期
随访项目,Ⅰ-Ⅱ期放疗
